project,sweep,run_id,state,created,dataset,Parameters,Num. Replicas,temperature,model
memorization-scoring-vs-sampling-eval,25xeednq,46t90kka,finished,2026-03-31T02:24:04Z,RylanSchaeffer/math_rephrased,344M,0,0.0,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval,25xeednq,cn1ohoyg,finished,2026-03-31T02:44:21Z,RylanSchaeffer/math_rephrased,344M,1,0.0,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval,25xeednq,msnwqawo,finished,2026-03-31T02:57:29Z,RylanSchaeffer/math_rephrased,344M,3,0.0,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval,25xeednq,5z2qn2nw,finished,2026-03-31T03:18:01Z,RylanSchaeffer/math_rephrased,344M,10,0.0,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval,25xeednq,3rfaz0m8,finished,2026-03-31T03:35:29Z,RylanSchaeffer/math_rephrased,344M,32,0.0,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval,25xeednq,ftqh3fvn,finished,2026-03-31T03:39:04Z,RylanSchaeffer/math_rephrased,344M,100,0.0,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval,25xeednq,wqcbk5pr,finished,2026-03-31T03:42:04Z,RylanSchaeffer/math_rephrased,344M,316,0.0,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval,25xeednq,tgvyyerz,finished,2026-03-31T03:44:43Z,RylanSchaeffer/math_rephrased,344M,1000,0.0,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval,25xeednq,eankgfvk,finished,2026-03-31T03:47:12Z,RylanSchaeffer/math_rephrased,344M,3162,0.0,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_3162_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval,w8j3qnru,pu2bw588,finished,2026-04-01T05:11:39Z,RylanSchaeffer/math_perturbed,344M,0,0.0,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval,w8j3qnru,htxpsmrk,finished,2026-04-01T05:12:32Z,RylanSchaeffer/math_perturbed,344M,1,0.0,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval,w8j3qnru,ng9nwso7,finished,2026-04-01T05:12:34Z,RylanSchaeffer/math_perturbed,344M,3,0.0,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval,w8j3qnru,i6e20376,finished,2026-04-01T05:12:34Z,RylanSchaeffer/math_perturbed,344M,10,0.0,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval,w8j3qnru,378qemdu,finished,2026-04-01T05:25:54Z,RylanSchaeffer/math_perturbed,344M,32,0.0,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval,w8j3qnru,dzm9nd0l,finished,2026-04-01T05:29:45Z,RylanSchaeffer/math_perturbed,344M,100,0.0,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval,w8j3qnru,3fzz2dgl,finished,2026-04-01T05:30:17Z,RylanSchaeffer/math_perturbed,344M,316,0.0,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval,w8j3qnru,4h20uajw,finished,2026-04-01T05:31:43Z,RylanSchaeffer/math_perturbed,344M,1000,0.0,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval,w8j3qnru,q2nd09au,finished,2026-04-01T05:32:44Z,RylanSchaeffer/math_perturbed,344M,3162,0.0,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_3162_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,dqzpndr1,finished,2026-03-29T04:18:33Z,stellaathena/math_perturbed,344M,0,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,pd21ft49,finished,2026-03-29T04:18:34Z,stellaathena/math_perturbed,344M,1,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,c4opsqxc,finished,2026-03-29T04:18:36Z,stellaathena/math_perturbed,344M,3,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,gzabbe8y,finished,2026-03-29T04:27:49Z,stellaathena/math_perturbed,344M,10,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,8akti3m3,finished,2026-03-29T04:27:51Z,stellaathena/math_perturbed,344M,32,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,49b7yhku,finished,2026-03-29T04:27:52Z,stellaathena/math_perturbed,344M,100,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,hjpwmcra,finished,2026-03-29T04:37:04Z,stellaathena/math_perturbed,344M,316,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,kt27z52c,finished,2026-03-29T04:37:05Z,stellaathena/math_perturbed,344M,1000,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,mtcog576,finished,2026-03-29T04:37:06Z,stellaathena/math_perturbed,344M,3162,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_3162_sbst_1.0000_epch_1_ot_1
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,4glczjz9,finished,2026-03-29T04:46:17Z,stellaathena/math_perturbed,344M,0,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1_sft
memorization-scoring-vs-sampling-eval-teacher-forcing,qo2zoai5,vnxp1ct6,finished,2026-03-29T04:46:21Z,stellaathena/math_perturbed,344M,1,,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1_sft
