problem_idx,answer_unchanged,original_answer,perturbed_answer
0,True,2,2
1,False,10,18
2,False,\dfrac{9}{7},\dfrac{16}{7}
3,False,i,-3
4,False,4,5
5,False,402,403
6,False,"x \in [-2,7]","x \in [-2,9]"
7,False,7,10
8,False,"4,6,14,15","5, 6, 14, 16"
9,False,-\frac{1}{8},-\dfrac{3}{8}
10,False,\frac{x+2}{7},\dfrac{x+2}{5}
11,False,-15,-17
12,False,10,15
13,False,8,9
14,False,75,100
15,False,\frac{11}{2},\dfrac{13}{2}
16,False,-25,-35
17,False,8,7
18,False,3,4
19,False,187.5,240
20,False,18,13
21,False,\$40,\$64
22,False,5,6
23,False,8,10
24,False,3125,243
25,True,"[0,\infty)","[0,\infty)"
26,False,.5,\frac{1}{3}
27,False,"12, 10, 6","20, 18, 14, 8"
28,False,5,6
29,False,16,20
30,False,2300,2290
31,False,5,13
32,False,105,168
33,False,-13.5,-16.5
34,False,\frac{243}{625},\frac{81}{125}
35,False,2,\frac{5}{2}
36,False,"(-\sqrt{3}, \sqrt{3})","(-2, 2)"
37,False,23,13
38,False,49,18
39,False,2x^9 - 8x^7 + 9x^6 - 16x^5 - 12x^4 + 9x^3 - 24x^2,2x^9 - 8x^7 + 9x^6 - 10x^5 - 12x^4 + 9x^3 - 15x^2
40,False,"(-\infty,-8)\cup (8,\infty)","(-\infty,-12)\cup (12,\infty)"
41,False,0,-4
42,False,2,6
43,False,16,15
44,False,\frac{1}{12},\frac{1}{8}
45,False,6+9i,8+13i
46,False,2,\frac{11}{6}
47,False,20,24
48,False,7(x+3) (x-3),5(x+3)(x-3)
49,False,y^4-2y^3+7y^2+y-5,y^4-2y^3+5y^2+y-5
50,False,4,5
51,True,0,0
52,False,12,10
53,False,\frac{7}{2},\dfrac{9}{2}
54,False,69,79
55,False,5,7
56,False,"\left(-\infty,-\frac 12\right)\cup \left(-\frac 12,\infty\right)","\left(-\infty,-\frac{1}{3}\right)\cup\left(-\frac{1}{3},\infty\right)"
57,False,\frac{2}{5},\frac{1}{2}
58,False,7,1
59,False,20,26
60,False,7,9
61,False,\sqrt{x},\sqrt[4]{x}
62,False,78,290
63,False,9,16
64,False,4,3
65,False,6,4
66,False,17,13
67,False,"\left(1,\frac{9}{2}\right)","\left(2,\frac{9}{2}\right)"
68,False,\frac{15}{2},10
69,False,-2,-3
70,False,8,35
71,False,20,15
72,False,24,28
73,False,\frac{19}{4},4
74,False,5,10
75,False,-55,-24
76,False,60,120
77,False,-7,-4
78,False,0.43,0.29
79,False,108,216
80,False,4950,3900
81,False,50,38
82,False,14,15
83,False,8,6
84,False,26,19
85,False,129,645
86,True,0,0
87,False,-5,-3
88,False,2,4
89,False,4,1
90,False,30,42
91,False,161,257
92,False,1,3
93,False,5,6
94,False,3s^2,4s^2
95,False,125,1000
96,False,8,6
97,False,286,287
98,False,"(9,11)","(7,9)"
99,False,\dfrac{1}{5},\dfrac{1}{3}
100,False,1,2
101,True,0,0
102,False,6,4
103,False,2x(15x^2-4x+10),6x(3x^2-2x+5)
104,False,106,19
105,False,10,14
106,False,26,24
107,False,47,92
108,False,18,24
109,False,5,7
110,False,\frac{\sqrt7}{14},\frac{\sqrt5}{15}
111,False,-6,-5
112,False,15,28
113,False,\frac{19}{30},\frac{67}{90}
114,False,-1,0
115,False,6,7
116,False,\frac{1}{350},\frac{3}{70}
117,False,"(2,12)","(4,12)"
118,False,-8,21
119,False,b=4,b=6
120,False,6,5
121,False,7,19
122,False,"(15,-11)","(13,-7)"
123,False,\frac56,\frac{5}{12}
124,False,6,8
125,False,15,14
126,False,19,24
127,False,\frac{3}{2},\frac{4}{3}
128,False,1,2
129,False,\frac{2009}{4},\frac{2011}{4}
130,False,-22,-30
131,False,-2,-1
132,False,0,-20
133,False,\frac{\sqrt{3}}{3},\frac{\sqrt{2}}{2}
134,False,-0.25,-\frac{1}{16}
135,False,1,2
136,False,11,10
137,False,1,3
138,False,45,28
139,False,20,40
140,False,15554,28886
141,False,1,2
142,False,-2,-\frac{3}{2}
143,False,18,12
144,False,64,40
145,False,3,7
146,False,36,40
147,False,"(-6, 10)","(-9, 15)"
148,False,10,19
149,False,4,18
150,False,\frac{12}{7},\frac{8}{7}
151,False,-1,-\frac{3}{2}
152,False,5,101
153,False,-\frac32,-\frac{1}{2}
154,False,8,12
155,False,-8192,16384
156,False,36,30
157,False,-\frac{1}{2},-1
158,False,9,25
159,False,20,22
160,False,9,5
161,False,66,29
162,False,600,150
163,False,6,7
164,False,-11 + 27i,-5 + 37i
165,False,50,70
166,False,256,4
167,False,48,35
168,True,\text{Evelyn},\text{Evelyn}
169,False,"(-\infty,0)","\left(-\infty,-\frac{10}{19}\right)"
170,False,36,35
171,False,\frac{243}{8},\frac{729}{16}
172,False,13,9
173,False,13,10
174,False,3,4
175,False,575\text{ students},600\text{ students}
176,False,\frac{5}{3},2
177,False,5,1
178,False,3,\frac{1}{2}
179,False,1,\sqrt{2}
180,False,6,8
181,False,16,12
182,False,13,10
183,False,0,4
184,False,-\sqrt{x-3}+3,-\sqrt{x-5}+5
185,False,\frac{1}{33},\frac{1}{28}
186,False,\frac9{5},\frac{16}{7}
187,False,75,78
188,False,\frac{3}{2},1
189,False,b - 1,\frac{6b-4}{9}
190,False,-9,-15
191,False,361,289
192,False,73,106
193,False,369,548
194,False,445,572
195,False,"[-3,2]","[-5,2]"
196,False,81,49
197,False,7,4
198,False,5,6
199,False,-5,-10
200,False,-120,-105
201,False,73.5,50.0
202,True,2,2
203,False,\frac{135}{2},90
204,False,8,10
205,False,25,4
206,False,625,81
207,False,16,4
208,False,9,10
209,False,363,1364
210,False,103,105
211,True,0,0
212,False,400,576
213,False,29,72
214,False,0,-\frac{1}{5}
215,False,-120,-216
216,False,19,41
217,False,12,10
218,False,-9,-4
219,False,-10,-8
220,False,7,6
221,False,x = 4,x = 6
222,False,x^4+x^2-10x-24,x^4+x^2-6x-8
223,True,2,2
224,False,52,20
225,True,1,1
226,False,3,\frac{11}{9}
227,False,7,10
228,False,\frac{3}{5},\frac{1}{2}
229,False,-4,-6
230,False,7,4
231,False,6,7
232,False,169,64
233,False,54,50
234,False,50,36
235,False,36,90
236,False,100,177
237,False,5050,7260
238,False,123,456
239,False,\frac{5}{4},\frac{4}{5}
240,False,1,2
241,False,1,3
242,False,16,8
243,False,\frac{\sqrt{3}}{3},\frac{2\sqrt{3}}{3}
244,False,12,16
245,False,3,5
246,False,\frac{3}{5},\frac{8}{15}
247,False,1,0
248,False,3702,1585
249,False,9,12
250,False,3,5
251,False,-\frac{8}{5},-\frac{5}{4}
252,False,43,76
253,False,5,6
254,False,220,180
255,False,5,7
256,False,6r^2-4r-24,12r^2 - 4r - 24
257,False,22,26
258,False,364,600
259,False,"\$15,\!000","\$9{,}600"
260,False,3,1
261,False,\frac12,\frac{1}{2}
262,False,5,10
263,False,1,3
264,True,81,81
265,False,5,7
266,False,26,22
267,False,\sqrt{13},5
268,False,\frac{68}{3}\text{ pounds},\frac{150}{7} \text{ pounds}
269,True,13,13
270,False,10,12
271,False,8,12
272,False,80,106
273,False,16,81
274,True,2,2
275,False,-2,-3
276,True,5,5
277,False,23,25
278,False,-2,4
279,True,5,5
280,False,10,6
281,True,2,2
282,True,2,2
283,False,40,32
284,True,7,7
285,False,1,4
286,False,\$ 139,\$160
287,False,7,6
288,True,12,12
289,False,81\text{ teachers},98\text{ teachers}
290,False,2,\frac{5}{3}
291,False,4,2
292,False,5,-1
293,False,-\frac1{2x},-\frac{1}{3x}
294,False,30,24
295,False,74726,85480
296,False,"(5,-6)","(4,-6)"
297,False,-120,-160
298,False,4,12
299,True,3,3
300,False,28,34
301,False,800,2400
302,True,9,9
303,False,10,14
304,True,-4,-4
305,False,549,225
306,False,"(-16,-4)","(-11,-3)"
307,False,27,21
308,False,(-4x^2+x+1)(4x^2+x+1),(-3x^2+x+1)(3x^2+x+1)
309,False,4(3-x)(3+x),25(2-x)(2+x)
310,False,5,10
311,False,0,2
312,False,11,37
313,False,7,10
314,False,22,29
315,True,C,C
316,False,18,15
317,True,0,0
318,True,0,0
319,True,8,8
320,False,11,9
321,False,2,4
322,False,125,32
323,False,2\sqrt{22},2\sqrt{21}
324,False,174,125
325,False,7,8
326,True,3,3
327,False,14,18
328,False,9,17
329,False,16,9
330,True,800000,800000
331,False,\frac{\sqrt6}3,\frac{\sqrt{15}}{5}
332,False,2,4
333,False,3,-3
334,False,\frac{4}{5},\frac{6}{7}
335,False,\frac{1}{4},\frac{1}{6}
336,False,5,6
337,False,64,96
338,False,5,10
339,False,9,25
340,False,3,4
341,False,4,3
342,False,2,0
343,False,\frac{6\sqrt{5}}{5},\frac{5\sqrt{3}}{3}
344,False,10,13
345,False,"\$16,\!386.16","\$11,\!887.58"
346,False,5,4
347,False,x^3 + 2x^2 + x,x^3+4x^2+4x
348,True,3,3
349,False,1050,840
350,True,6,6
351,False,1.8,2.8
352,False,2,3
353,False,0.75,0.25
354,True,-15,-15
355,False,-4,-6
356,False,10,31
357,False,2010,2025
358,False,-3,-4
359,False,-114,-165
360,False,24,120
361,False,8,5
362,False,\frac 54,\frac{13}{4}
363,False,3,5
364,False,89,55
365,False,99940009,99920016
366,False,\dfrac{1}{3},\frac{1}{4}
367,False,2\sqrt{5},\frac{6\sqrt{5}}{5}
368,False,27,30
369,False,360,240
370,False,4000,5000
371,False,17,13
372,False,200,119
373,False,11,24
374,False,4,6
375,False,-3,-5
376,False,"(-\infty, -7)\cup(-7, 3)\cup(3, \infty)","(-\infty,-5)\cup(-5,3)\cup(3,\infty)"
377,False,11,7
378,False,"\left[\frac{1}{2}, \frac{4}{3}\right]","\left[\frac{2}{3},\frac{3}{2}\right]"
379,False,24,30
380,False,4,5
381,False,143,121
382,False,17,12
383,False,9\pi,25\pi
384,False,21y+14,36y+27
385,False,44\%,69\%
386,False,-4,-5
387,False,20,28
388,True,2,2
389,False,1,3
390,False,22,20
391,False,8,9
392,False,5,4
393,False,(r+5)^2,(r+7)^2
394,False,3\sqrt{2},2\sqrt{6}
395,False,-6,-\frac{5}{2}
396,False,49,25
397,False,\frac{5}{3},\frac{7}{4}
398,False,4,8
399,False,4,5
400,False,7z^{96}(4z+1),9z^{96}(5z+1)
401,False,17,21
402,True,4,4
403,False,\frac{11}{2},\frac{9}{2}
404,False,\frac16,\frac{3}{26}
405,False,10\sqrt 2,6\sqrt{2}
406,False,118 \text{ dollars},737 \text{ dollars}
407,False,-1,-4
408,False,x^3+27,x^3+x^2-3x+36
409,False,6,8
410,False,2b,a+2b
411,False,3,4
412,False,6x-5,5x-4
413,False,3,4
414,False,1,"-3, 1"
415,False,2,3
416,True,0,0
417,True,12,12
418,False,108,105
419,False,-3,2x-5
420,False,1,9
421,False,\frac15,\frac{1}{5}
422,False,2500,3600
423,False,8,9
424,False,\frac32,\frac{7}{2}
425,False,12,15
426,False,700,900
427,False,21,3
428,False,\cfrac{25}{16},\frac{3}{2}
429,False,9\text{ a.m.},3\text{ p.m.}
430,False,14,7
431,False,8,9
432,False,3,4
433,False,4,6
434,False,-48,-50
435,False,2,3
436,False,0,7
437,False,575,579
438,False,55,75
439,False,\dfrac{4}{3},\frac{9}{5}
440,False,75,100
441,False,12,10
442,False,28,19
443,False,121,256
444,False,292i,195i
445,True,4,4
446,False,1,3
447,False,125,625
448,False,7.5,6.5
449,False,3.2,0.8
450,False,13,21
451,False,-1,0
452,False,1600,2500
453,False,"[1,9]","[2, 29]"
454,False,2,4
455,False,"(1,3)","(2, 1)"
456,False,12,14
457,False,-150,-64
458,False,\frac{1}{3},\frac{1}{8}
459,False,4,10
460,False,9,11
461,False,17,8
462,False,2,\frac{3}{2}
463,False,-\frac{14}{5},-\frac{13}{3}
464,False,5,6
465,True,2,2
466,False,7.5,8
467,False,8\pi,13\pi
468,False,-9,-36
469,True,-3,-3
470,False,-5,-3
471,False,15,18
472,False,1120,1280
473,False,16,20
474,False,108,88
475,False,23,31
476,False,2500,4761
477,False,\frac{1}{12},\frac{1}{8}
478,False,-15,3
479,False,93,119
480,False,1,4
481,False,\frac{1}{2},\frac{3}{2}
482,False,90,58
483,False,128,84
484,False,0,-45
485,False,30,45
486,False,-36,-100
487,False,\frac{23}{2},\frac{29}{2}
488,False,3,5
489,False,1023,575
490,False,12,32
491,False,x=9,16
492,False,2,\frac{7}{3}
493,False,\frac{1}{y} + y,\frac{1}{y} + 2y
494,True,2,2
495,False,\frac{7}{4},\frac{11}{6}
496,False,1,3
497,False,27,36
498,False,20,40
499,True,7,7
500,False,4,\frac{4}{9}
501,False,3\sqrt{13},10
502,False,1710,1260
503,False,"(-\infty, 2) \cup (3, \infty)","(-\infty, 3) \cup (4, \infty)"
504,False,"(-\infty,0]\cup[4,\infty)","(-\infty,0]\cup[8,\infty)"
505,False,x^3+3x-6,x^3+4x-12
506,False,81,625
507,False,64,121
508,False,"6, -2","11, -5"
509,False,17,23
510,True,2,2
511,False,13,25
512,False,-1,0
513,False,81,32
514,False,2x-1,3x-1
515,False,4x-5y=-50,3x-4y=-32
516,False,1,\frac{1}{7}
517,False,24,48
518,False,\frac{13}{30},\frac{1}{4}
519,False,900,990
520,False,14,18
521,False,181,287
522,False,28,56
523,True,7,7
524,False,-1,-a
525,True,1,1
526,False,440\text{ cm}^2,624
527,False,40,36
528,False,11,13
529,False,10,12
530,False,\frac{1}{4},\frac{1}{9}
531,False,-8,-3
532,False,78,55
533,False,7,8
534,False,56,59
535,False,26,31
536,False,-\dfrac{4}{3},-\frac{4}{3}
537,False,4,6
538,True,1,1
539,False,-27,-39
540,False,10,26
541,False,54,14
542,False,6,8
543,False,125.5,200.5
544,False,13,23
545,False,7,9
546,False,7,1
547,False,\frac{1023}{1024},\frac{364}{729}
548,False,5,1
549,False,18,16
550,False,-5,-7
551,False,7,19
552,False,\frac{8}{3},\frac{10}{3}
553,False,"(-\infty, -14)\cup(-3,\infty)","(-\infty, -20) \cup (-3, \infty)"
554,False,2,3
555,False,9,10
556,False,2.2,\frac{5}{2}
557,False,-6,-10
558,True,3,3
559,False,\frac{30}{11},\frac{50}{11}
560,False,0,-4
561,False,51,63
562,False,19,38
563,False,2,3
564,False,11,17
565,False,85\text{ feet},42.5
566,False,x=-10,x = -12
567,False,96.8,110.0
568,False,\frac{21}{43},\frac{3}{4}
569,False,"-4, 4","-9, 9"
570,False,978121,994009
571,True,3,3
572,False,4.5,8.0
573,False,3,5
574,False,21a^5 - 7a^4 - 16a^2 + 32a,15a^5 - 5a^4 - 12a^2 + 24a
575,False,7,9
576,False,x=5,x=6
577,False,-13,-11
578,False,\dfrac{8}{7},\frac{6}{5}
579,False,7,9
580,False,2,3
581,False,-\frac{2}{3},1
582,True,0,0
583,False,24,18
584,False,4,7
585,False,-40,-30
586,False,7,9
587,False,4,5
588,False,\dfrac{1}{83},\frac{1}{89}
589,False,\frac{\sqrt{3}}{9},\frac{2\sqrt{5}}{11}
590,True,-1,-1
591,False,144,176
592,False,255,366
593,False,10,15
594,False,7,9
595,True,41,41
596,False,-3,-7
597,False,17,23
598,False,23,15
599,False,2,3
600,False,"(7,6)","(5,6)"
601,False,8,11
602,False,65 \text{ children tickets },60 \text{ children's tickets}
603,False,3,2
604,False,"(4,5)","\left(\frac{9}{2},\frac{11}{2}\right)"
605,False,-6,-10
606,False,93,156
607,False,3,\frac{16}{5}
608,False,20,42
609,False,\frac{3\sqrt{3}}{4},\frac{4}{3}
610,False,1,-3
611,True,6,6
612,False,\frac9{19},\frac{4}{13}
613,False,4,3
614,False,-4,-5
615,False,1+2i,\frac{1}{10}+\frac{17}{10}i
616,False,7,8
617,False,12,20
618,False,5,6
619,True,13,13
620,False,10,19
621,False,324,529
622,False,0,2
623,False,42,46
624,False,\frac{1}{9},\frac{3}{64}
625,False,216,512
626,False,\frac{128}{75},\frac{103}{75}
627,False,0,16
628,False,\frac 43,\frac{3}{2}
629,False,13,12
630,False,8,16
631,True,1,1
632,False,2450,2750
633,False,-10,-4
634,False,5,7
635,False,5,7
636,False,136,220
637,False,312 \text{ dollars},336 \text{ dollars}
638,False,156,231
639,False,-9,-13
640,False,\dfrac{3}{2},\frac{5}{4}
641,False,34,59
642,False,81,243
643,False,28,30
644,False,19 \text{ and }43,11 \text{ and } 47
645,False,1,\frac{3}{2}
646,False,12,16
647,False,\frac{2}{5},\frac{3}{5}
648,False,\$ 10,\$12
649,False,\frac{25}{9},\frac{125}{27}
650,False,4x^2 - 6x + 4,4x^2 - 10x + 3
651,False,\frac{2}{3},\frac{1}{2}
652,False,2k,2k+2
653,False,150,120
654,False,22,58
655,False,\text{June 20},\text{June 19}
656,False,4,6
657,False,47,119
658,True,5,5
659,False,x = -1,-1
660,False,26,24
661,False,5.4,5.6
662,False,5,6
663,True,1,1
664,False,-8,-7
665,False,21,25
666,True,10,10
667,False,\frac{4}{13},\frac{8}{13}
668,False,-4,-9
669,False,\frac{625}4,49
670,False,100\%,200\%
671,False,\frac{7}{9},\frac{8}{11}
672,False,17,11
673,True,2000,2000
674,False,16,21
675,False,4800,8000
676,False,\frac{1}{6},\frac{1}{8}
677,False,20,16
678,False,600,800
679,False,194,193
680,False,16,17
681,False,\frac{5\sqrt{42}}{27},\frac{2\sqrt{42}}{9}
682,False,0,1
683,True,10,10
684,False,8,6
685,False,-\frac{49}{12},-\frac{73}{12}
686,False,3,1
687,False,3,4
688,True,"(-\infty,-5]\cup[5,\infty)","(-\infty,-5]\cup[5,\infty)"
689,False,18x^8,12x^8
690,False,"(1,2)","(2,3)"
691,False,16,36
692,False,19,15
693,False,288,972
694,False,512,65536
695,True,8,8
696,False,\text{VW},\text{VWY}
697,False,6,8
698,True,10,10
699,False,0,2
700,False,137 \frac{1}{2},195
701,False,4,5
702,False,630,1070
703,False,10,12
704,False,\frac{128}{3},\frac{512}{7}
705,False,225,216
706,False,12,36
707,False,-\dfrac{3}{4},\frac{5}{4}
708,False,"[0,1)","[0,2)"
709,False,"\left(\frac{3}{5},\frac{8}{3}\right]","\left(\frac{3}{5}, 3\right]"
710,False,"\$115,000","\$125{,}000"
711,False,8,9
712,False,0,\frac{2}{5}
713,False,720,1320
714,False,6,8
715,False,\frac{10}{9},-7
716,False,\frac{1}{256},\frac{1}{81}
717,False,500a^7,324a^{10}
718,False,2,4
719,False,16384,-529984
720,False,\frac{1}{6},\frac{1}{4}
721,False,54,64
722,False,-\frac{35}{9},-\frac{3}{4}
723,False,-3,-4
724,False,107,103
725,False,164,12
726,False,125,8
727,False,2003,1505
728,False,36,16
729,False,10,-11
730,True,4,4
731,False,140,144
732,False,-7,-17
733,True,20,20
734,False,697,699
735,False,1,2
736,False,18,24
737,True,3,3
738,False,10,30
739,False,2,3
740,False,7,8
741,False,-4,-7
742,False,6,9
743,False,2,4
744,False,\frac{14}{3},\frac{8}{3}
745,False,-4,-6
746,False,15,16
747,False,9,43
748,False,2107,5586
749,False,2,3
750,True,2,2
751,False,11,13
752,False,900,954
753,False,13,11
754,False,11,9
755,False,3qr + 6q - 15r -30,3qr + 6q - 21r - 42
756,True,40,40
757,False,\frac{14}{3},\frac{21}{4}
758,True,7945,7945
759,False,4,5
760,False,210,156
761,False,26000,28000
762,False,8000,36000
763,False,2,4
764,False,78,117
765,True,0,0
766,False,27,22
767,False,6,13
768,False,32,30
769,False,\tfrac{10}{3},\tfrac{26}{5}
770,False,12,48
771,False,\frac{160}{33},\frac{144}{29}
772,True,-\dfrac{2}{3},-\dfrac{2}{3}
773,False,3,4
774,False,(4x - 7),(2x-3)
775,False,38,46
776,False,64,625
777,False,\frac{8t}{3},\frac{10t}{3}
778,False,3,5
779,False,1024,59049
780,False,-6,-2
781,False,6,5
782,False,"\$32,\!348","\$40,\!435"
783,False,"(0,1]","\left(0,\frac{3}{7}\right]"
784,False,\frac{5}{2},3
785,False,10,15
786,False,15,30
787,False,2,3
788,False,"[1, 4]","[4, 9]"
789,False,48,96
790,False,15,13
791,False,-102,-74
792,False,-2,-10
793,False,x = 3,x = 5
794,False,10,11
795,False,\frac{9}{2},\frac{63}{10}
796,False,11,13
797,False,3n^2-18,3n^2+n-16
798,False,\text{Monday},\text{Tuesday}
799,False,0,-\frac{1}{7}
800,False,13.5,15.0
801,False,13,19
802,False,49,64
803,False,17,21
804,False,18,21
805,False,5r^5,6r^5
806,False,\dfrac{1}{5},\dfrac{2}{5}
807,False,"(-6,0)","(3,5)"
808,True,\text{(C)},\text{(C)}
809,False,x^2 + 10x + 25,x^2 + 14x + 49
810,False,7,8
811,False,-9,-11
812,False,104,200
813,False,4,3
814,False,-3,-2
815,False,25,41
