_runtime,_step,_timestamp,_wandb.runtime,lm_eval_harness/math_verify_none,data_config,max_tokens,model_config,seed,temperature,State,Sweep,run_id,run_name
401.0,0.0,1755379144.43011,401.0,0.2374,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_2_seed_0'}",0,1.0,finished,fmnum712,yfd876qm,proud-sweep-9
376.0,0.0,1755380702.3978255,376.0,0.405,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_5_seed_0'}",0,0.0,finished,fmnum712,vgejla87,sunny-sweep-13
528.0,0.0,1755376609.4026258,528.0,0.1968,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'Qwen/Qwen2.5-3B'}",0,1.0,finished,fmnum712,4w8c5clx,kind-sweep-3
371.0,0.0,1755382586.3742456,371.0,0.307,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_7_seed_0'}",0,1.0,finished,fmnum712,bdafcrg1,fearless-sweep-18
353.0,0.0,1755385170.826366,353.0,0.9838,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_19_seed_0'}",0,0.0,finished,fmnum712,qa2y8yba,warm-sweep-25
,,,,,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_19_seed_0'}",0,1.0,running,fmnum712,cmf347pt,helpful-sweep-27
388.0,0.0,1755379548.1301937,388.0,0.4052,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_3_seed_0'}",0,0.0,finished,fmnum712,wqo70knb,dashing-sweep-10
348.0,0.0,1755381065.8380258,348.0,0.3874,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_5_seed_0'}",0,0.316,finished,fmnum712,4nn7pht1,royal-sweep-14
481.0,0.0,1755377104.0504599,481.0,0.3858,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_1_seed_0'}",0,0.0,finished,fmnum712,s7r88axl,polished-sweep-4
410.0,0.0,1755378346.8747573,410.0,0.41,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_2_seed_0'}",0,0.0,finished,fmnum712,jbux180m,fancy-sweep-7
350.0,0.0,1755382199.8894384,350.0,0.3794,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_7_seed_0'}",0,0.316,finished,fmnum712,pkw5dto5,ethereal-sweep-17
341.0,0.0,1755384438.5719562,341.0,0.673,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_13_seed_0'}",0,0.316,finished,fmnum712,7imrqs4n,classic-sweep-23
374.0,0.0,1755381451.967915,374.0,0.2884,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_5_seed_0'}",0,1.0,finished,fmnum712,m8i6mtj0,eternal-sweep-15
410.0,0.0,1755377525.60994,410.0,0.3662,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_1_seed_0'}",0,0.316,finished,fmnum712,z6yo3x3c,gallant-sweep-5
372.0,0.0,1755382972.761414,372.0,0.4474,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_10_seed_0'}",0,0.0,finished,fmnum712,4sg6klrn,kind-sweep-19
375.0,0.0,1755381838.4916344,375.0,0.396,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_7_seed_0'}",0,0.0,finished,fmnum712,aljf9er2,smart-sweep-16
352.0,0.0,1755384804.3105938,352.0,0.4942,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_13_seed_0'}",0,1.0,finished,fmnum712,vy3nknq4,scarlet-sweep-24
390.0,0.0,1755377926.474824,390.0,0.1768,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_1_seed_0'}",0,1.0,finished,fmnum712,9g9toh8z,robust-sweep-6
346.0,0.0,1755383332.1613424,346.0,0.4318,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_10_seed_0'}",0,0.316,finished,fmnum712,m528kovc,dark-sweep-20
565.0,0.0,1755375535.9954941,565.0,0.4662,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'Qwen/Qwen2.5-3B'}",0,0.0,finished,fmnum712,n5z5n4hv,denim-sweep-1
359.0,0.0,1755379920.0062127,359.0,0.3836,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_3_seed_0'}",0,0.316,finished,fmnum712,c5p7v8z9,hardy-sweep-11
362.0,0.0,1755384084.1018362,362.0,0.69,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_13_seed_0'}",0,0.0,finished,fmnum712,mxud50fm,ruby-sweep-22
374.0,0.0,1755378732.20775,374.0,0.3878,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_2_seed_0'}",0,0.316,finished,fmnum712,x8rclcrz,atomic-sweep-8
383.0,0.0,1755380314.129761,383.0,0.2532,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_3_seed_0'}",0,1.0,finished,fmnum712,370wpvr1,glamorous-sweep-12
364.0,0.0,1755383709.895713,364.0,0.341,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_10_seed_0'}",0,1.0,finished,fmnum712,3esimzcb,lucky-sweep-21
332.0,0.0,1755385514.2551973,332.0,0.9824,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'RylanSchaeffer/mem_model_Qwen2.5-3B_dataset_minerva_math_epochs_19_seed_0'}",0,0.316,finished,fmnum712,lgyzzjt8,genial-sweep-26
520.0,0.0,1755376069.8641148,520.0,0.4532,"{'dataset': 'EleutherAI/minerva_math', 'shuffle_seed': 0}",2048,"{'dtype': 'bfloat16', 'enforce_eager': True, 'model': 'Qwen/Qwen2.5-3B'}",0,0.316,finished,fmnum712,ea91n6v8,deep-sweep-2
