params_M,replicas,subset_fraction,overtrain,benchmark,in_cache_with_loss,found_in_wandb,wandb_has_loss
34,0,1.0,1.0,EleutherAI/minerva_math,True,rylan/memorization-scoring-vs-sampling-pt-v2,True
34,0,1.0,2.0,EleutherAI/minerva_math,True,,False
34,0,1.0,4.0,EleutherAI/minerva_math,True,,False
34,0,1.0,8.0,EleutherAI/minerva_math,True,,False
34,0,1.0,16.0,EleutherAI/minerva_math,True,,False
34,1,1.0,1.0,EleutherAI/minerva_math,True,rylan/memorization-scoring-vs-sampling-pt-v2,True
34,1,1.0,2.0,EleutherAI/minerva_math,True,,False
34,1,1.0,4.0,EleutherAI/minerva_math,True,,False
34,1,1.0,8.0,EleutherAI/minerva_math,True,,False
34,1,1.0,16.0,EleutherAI/minerva_math,True,,False
34,3,1.0,1.0,EleutherAI/minerva_math,True,rylan/memorization-scoring-vs-sampling-pt-v2,True
34,3,1.0,2.0,EleutherAI/minerva_math,True,,False
34,3,1.0,4.0,EleutherAI/minerva_math,True,,False
34,3,1.0,8.0,EleutherAI/minerva_math,True,,False
34,3,1.0,16.0,EleutherAI/minerva_math,True,,False
34,10,1.0,1.0,EleutherAI/minerva_math,True,rylan/memorization-scoring-vs-sampling-pt-v2,True
34,10,1.0,2.0,EleutherAI/minerva_math,True,,False
34,10,1.0,4.0,EleutherAI/minerva_math,True,,False
34,10,1.0,8.0,EleutherAI/minerva_math,True,,False
34,10,1.0,16.0,EleutherAI/minerva_math,True,,False
34,32,1.0,1.0,EleutherAI/minerva_math,True,rylan/memorization-scoring-vs-sampling-pt-v2,True
34,32,1.0,2.0,EleutherAI/minerva_math,True,,False
34,32,1.0,4.0,EleutherAI/minerva_math,True,,False
34,32,1.0,8.0,EleutherAI/minerva_math,True,,False
34,32,1.0,16.0,EleutherAI/minerva_math,True,,False
34,100,1.0,1.0,EleutherAI/minerva_math,True,rylan/memorization-scoring-vs-sampling-pt-v2,True
34,100,1.0,2.0,EleutherAI/minerva_math,True,,False
34,100,1.0,4.0,EleutherAI/minerva_math,True,,False
34,100,1.0,8.0,EleutherAI/minerva_math,True,,False
34,100,1.0,16.0,EleutherAI/minerva_math,True,,False
34,316,1.0,1.0,EleutherAI/minerva_math,True,rylan/memorization-scoring-vs-sampling-pt-v2,True
34,316,1.0,2.0,EleutherAI/minerva_math,True,,False
34,316,1.0,4.0,EleutherAI/minerva_math,True,,False
34,316,1.0,8.0,EleutherAI/minerva_math,True,,False
34,316,1.0,16.0,EleutherAI/minerva_math,True,,False
34,1000,1.0,4.0,EleutherAI/minerva_math,True,,False
34,1000,1.0,8.0,EleutherAI/minerva_math,True,,False
34,1000,1.0,16.0,EleutherAI/minerva_math,True,,False
34,3162,1.0,8.0,EleutherAI/minerva_math,True,,False
34,3162,1.0,16.0,EleutherAI/minerva_math,True,,False
63,0,1.0,1.0,EleutherAI/minerva_math,True,rylan/memorization-scoring-vs-sampling-pt-v2,True
63,0,1.0,2.0,EleutherAI/minerva_math,True,,False
63,0,1.0,4.0,EleutherAI/minerva_math,True,,False
63,0,1.0,8.0,EleutherAI/minerva_math,True,,False
63,0,1.0,16.0,EleutherAI/minerva_math,True,,False
63,1,1.0,1.0,EleutherAI/minerva_math,True,rylan/memorization-scoring-vs-sampling-pt-v2,True
63,1,1.0,2.0,EleutherAI/minerva_math,True,,False
63,1,1.0,4.0,EleutherAI/minerva_math,True,,False
63,1,1.0,8.0,EleutherAI/minerva_math,True,,False
63,1,1.0,16.0,EleutherAI/minerva_math,True,,False
63,3,1.0,1.0,EleutherAI/minerva_math,True,rylan/memorization-scoring-vs-sampling-pt-v2,True
63,3,1.0,2.0,EleutherAI/minerva_math,True,,False
63,3,1.0,4.0,EleutherAI/minerva_math,True,,False
63,3,1.0,8.0,EleutherAI/minerva_math,True,,False
63,3,1.0,16.0,EleutherAI/minerva_math,True,,False
63,10,1.0,1.0,EleutherAI/minerva_math,True,rylan/memorization-scoring-vs-sampling-pt-v2,True
63,10,1.0,2.0,EleutherAI/minerva_math,True,,False
63,10,1.0,4.0,EleutherAI/minerva_math,True,,False
63,10,1.0,8.0,EleutherAI/minerva_math,True,,False
63,10,1.0,16.0,EleutherAI/minerva_math,True,,False
63,32,1.0,1.0,EleutherAI/minerva_math,True,rylan/memorization-scoring-vs-sampling-pt-v2,True
63,32,1.0,2.0,EleutherAI/minerva_math,True,,False
63,32,1.0,4.0,EleutherAI/minerva_math,True,,False
63,32,1.0,8.0,EleutherAI/minerva_math,True,,False
63,32,1.0,16.0,EleutherAI/minerva_math,True,,False
63,100,1.0,1.0,EleutherAI/minerva_math,True,rylan/memorization-scoring-vs-sampling-pt-v2,True
63,100,1.0,2.0,EleutherAI/minerva_math,True,,False
63,100,1.0,4.0,EleutherAI/minerva_math,True,,False
63,100,1.0,8.0,EleutherAI/minerva_math,True,,False
63,100,1.0,16.0,EleutherAI/minerva_math,True,,False
